,KODE_KEL_DESA,KODE_KEC,KODE_KAB_KOTA,KODE_PROVINSI,POPULASI,JUMLAH_KK,pemuda,dewasa,lansia,Pengangguran,Kerah Biru,Kerah Putih,Profesional,Tidak Sekolah,Sekolah,Universitas,Mayoritas,Minoritas,ISLAM,KRISTEN,KATOLIK,HINDU,BUDDHA,KONGHUCU,KEPERCAYAAN
164,36.01.29.2007,36.01.29,36.01,36,6618,2225,1820,1861,731,1286,2971,1021,11,2046,4426,146,6599,19,6599,6,2,0,11,0,0
165,36.01.29.2008,36.01.29,36.01,36,5227,1860,1430,1556,566,1278,2125,647,3,1576,3593,58,5227,0,5227,0,0,0,0,0,0
166,36.01.29.2009,36.01.29,36.01,36,2071,718,536,571,287,403,1052,107,0,664,1397,10,2070,1,2070,1,0,0,0,0,0
167,36.01.30.2001,36.01.30,36.01,36,3867,1286,1033,1026,579,979,1414,927,0,1073,2753,41,3867,0,3867,0,0,0,0,0,0
168,36.01.30.2002,36.01.30,36.01,36,3530,1140,967,892,537,870,1291,585,1,1036,2454,40,3530,0,3530,0,0,0,0,0,0
169,36.01.30.2003,36.01.30,36.01,36,3293,1045,909,826,469,747,1101,793,2,980,2272,41,3293,0,3293,0,0,0,0,0,0
170,36.01.30.2004,36.01.30,36.01,36,1957,637,505,550,276,609,633,419,2,561,1389,7,1957,0,1957,0,0,0,0,0,0
171,36.01.30.2006,36.01.30,36.01,36,3282,1048,961,884,359,806,1000,811,0,963,2273,46,3282,0,3282,0,0,0,0,0,0
172,36.01.31.2001,36.01.31,36.01,36,3231,1152,836,1048,455,664,1493,555,6,968,2212,51,3231,0,3231,0,0,0,0,0,0
173,36.01.31.2002,36.01.31,36.01,36,3159,1144,842,1029,340,814,1161,473,2,1003,2117,39,3159,0,3159,0,0,0,0,0,0
174,36.01.31.2004,36.01.31,36.01,36,1691,619,425,535,239,351,861,173,2,488,1180,23,1691,0,1691,0,0,0,0,0,0
175,36.01.32.2008,36.01.32,36.01,36,2392,792,668,627,285,530,878,371,2,723,1627,42,2392,0,2392,0,0,0,0,0,0
176,36.01.31.2006,36.01.31,36.01,36,2568,941,656,816,338,658,1146,383,2,777,1765,26,2568,0,2568,0,0,0,0,0,0
177,36.01.32.2005,36.01.32,36.01,36,3924,1242,1100,920,443,854,1093,508,2,1247,2609,68,3924,0,3924,0,0,0,0,0,0
178,36.01.31.2009,36.01.31,36.01,36,2364,832,635,649,315,671,848,372,0,766,1561,37,2364,0,2364,0,0,0,0,0,0
179,36.01.32.2001,36.01.32,36.01,36,4371,1408,1176,1117,607,1082,1331,775,1,1336,2823,212,4371,0,4371,0,0,0,0,0,0
180,36.01.32.2002,36.01.32,36.01,36,3701,1242,1057,947,426,974,1351,547,5,1179,2437,85,3699,2,3699,2,0,0,0,0,0
181,36.01.32.2003,36.01.32,36.01,36,4489,1473,1267,1107,513,1195,1440,784,0,1423,2995,71,4488,1,4488,1,0,0,0,0,0
182,36.01.33.2002,36.01.33,36.01,36,1274,395,355,365,134,305,515,160,0,349,908,17,1274,0,1274,0,0,0,0,0,0
183,36.01.33.2004,36.01.33,36.01,36,1744,529,465,443,211,407,507,370,0,550,1149,45,1744,0,1744,0,0,0,0,0,0
184,36.01.33.2005,36.01.33,36.01,36,2525,746,667,588,351,632,864,430,0,786,1709,30,2525,0,2525,0,0,0,0,0,0
185,36.01.33.2007,36.01.33,36.01,36,1390,423,400,340,166,334,441,262,0,468,887,35,1390,0,1390,0,0,0,0,0,0
186,36.01.33.2008,36.01.33,36.01,36,2090,673,547,547,258,467,641,426,1,667,1387,36,2090,0,2090,0,0,0,0,0,0
187,36.01.33.2009,36.01.33,36.01,36,2580,754,688,653,322,670,687,570,0,804,1659,117,2574,6,2574,6,0,0,0,0,0
188,36.01.34.1002,36.01.34,36.01,36,8498,2781,2134,2415,1260,1932,1954,2470,29,2254,5273,971,8464,34,8464,29,2,0,3,0,0
189,36.04.22.2006,36.04.22,36.04,36,2596,799,708,703,361,777,1057,174,2,817,1775,4,2596,0,2596,0,0,0,0,0,0
190,36.01.34.1003,36.01.34,36.01,36,13352,4034,3721,3694,1177,3182,3119,3053,37,4054,7961,1337,13219,133,13219,115,17,0,1,0,0
191,36.01.34.1004,36.01.34,36.01,36,9529,2624,2691,2142,841,2783,2437,1789,2,3660,5841,28,9529,0,9529,0,0,0,0,0,0
192,36.01.34.1005,36.01.34,36.01,36,7504,2261,2167,1892,852,2130,1927,1550,4,2322,4989,193,7504,0,7504,0,0,0,0,0,0
193,36.01.35.2003,36.01.35,36.01,36,3058,1191,724,1010,449,653,1567,376,0,990,2044,24,3058,0,3058,0,0,0,0,0,0
194,36.01.35.2005,36.01.35,36.01,36,4168,1662,1038,1407,593,751,2207,537,0,1272,2845,51,4168,0,4168,0,0,0,0,0,0
195,36.01.35.2006,36.01.35,36.01,36,5168,1792,1299,1547,693,1036,1893,1217,6,1615,3433,120,5167,1,5167,1,0,0,0,0,0
196,36.01.35.2007,36.01.35,36.01,36,6239,2281,1513,1901,941,1158,2283,1410,7,1844,4192,203,6237,2,6237,0,2,0,0,0,0
197,36.01.35.2008,36.01.35,36.01,36,3273,1280,797,1057,563,534,1562,667,2,873,2375,25,3273,0,3273,0,0,0,0,0,0
198,36.02.01.2002,36.02.01,36.02,36,3846,1247,1048,1028,407,829,1225,732,2,1247,2474,125,3846,0,3846,0,0,0,0,0,0
199,36.02.01.2003,36.02.01,36.02,36,5545,1864,1479,1591,769,1139,2109,927,9,1607,3762,176,5545,0,5545,0,0,0,0,0,0
200,36.02.01.2004,36.02.01,36.02,36,7850,2529,2234,2184,789,1941,2877,1139,3,2411,5256,183,7837,13,7837,3,2,0,8,0,0
201,36.02.01.2005,36.02.01,36.02,36,5974,2021,1690,1653,721,1263,2132,1147,8,1764,3992,218,5965,9,5965,0,2,0,7,0,0
202,36.02.01.2006,36.02.01,36.02,36,4874,1622,1295,1428,596,1112,2128,504,10,1408,3356,110,4873,1,4873,1,0,0,0,0,0
203,36.02.01.2009,36.02.01,36.02,36,3581,1183,993,1022,390,999,1417,399,1,1087,2451,43,3581,0,3581,0,0,0,0,0,0
204,36.02.01.2016,36.02.01,36.02,36,2476,858,636,794,241,505,1137,329,0,771,1675,30,2475,1,2475,1,0,0,0,0,0
