,KODE_KEL_DESA,KODE_KECAMATAN,KODE_KAB_KOTA,KODE_PROVINSI,Tidak Sekolah,Sekolah,Universitas
30691,36.01.11.2001,36.01.11,36.01,36,1853.0,4121.0,35.0
30692,36.01.11.2002,36.01.11,36.01,36,1441.0,3434.0,145.0
30693,36.01.11.2004,36.01.11,36.01,36,1122.0,2771.0,143.0
30694,36.01.11.2008,36.01.11,36.01,36,1642.0,3487.0,35.0
30695,36.01.12.2002,36.01.12,36.01,36,2983.0,6994.0,584.0
30696,36.01.13.2005,36.01.13,36.01,36,1620.0,4036.0,659.0
30697,36.01.13.2013,36.01.13,36.01,36,588.0,1487.0,89.0
30698,36.01.14.2002,36.01.14,36.01,36,794.0,1675.0,74.0
30699,36.01.14.2012,36.01.14,36.01,36,675.0,1691.0,49.0
30700,36.01.14.2013,36.01.14,36.01,36,1312.0,2730.0,210.0
30701,36.01.14.2008,36.01.14,36.01,36,450.0,985.0,27.0
30702,36.01.14.2009,36.01.14,36.01,36,982.0,2232.0,56.0
30703,36.01.14.2011,36.01.14,36.01,36,1257.0,2875.0,227.0
30704,36.01.15.2001,36.01.15,36.01,36,1222.0,2994.0,281.0
30705,36.01.15.2002,36.01.15,36.01,36,907.0,2094.0,52.0
30706,36.01.15.2006,36.01.15,36.01,36,700.0,1641.0,33.0
30707,36.01.15.2008,36.01.15,36.01,36,540.0,1373.0,12.0
30708,36.01.16.2001,36.01.16,36.01,36,698.0,1549.0,185.0
30709,36.01.16.2012,36.01.16,36.01,36,630.0,1683.0,71.0
30710,36.01.16.2005,36.01.16,36.01,36,764.0,1843.0,48.0
30711,36.01.16.2006,36.01.16,36.01,36,597.0,1618.0,57.0
30712,36.01.16.2007,36.01.16,36.01,36,338.0,980.0,17.0
30713,36.01.16.2008,36.01.16,36.01,36,386.0,1257.0,44.0
30714,36.01.16.2013,36.01.16,36.01,36,845.0,2131.0,100.0
30715,36.01.17.2002,36.01.17,36.01,36,1354.0,2890.0,126.0
30716,36.01.17.2003,36.01.17,36.01,36,1283.0,2903.0,192.0
