,KODE_KEL_DESA,KODE_KECAMATAN,KODE_KAB_KOTA,KODE_PROVINSI,Pengangguran,Kerah Biru,Kerah Putih,Profesional
30931,36.02.23.2005,36.02.23,36.02,36,925.0,1521.0,326.0,2.0
30932,36.02.23.2007,36.02.23,36.02,36,1573.0,2091.0,528.0,3.0
30933,36.02.23.2008,36.02.23,36.02,36,849.0,1654.0,389.0,0.0
30934,36.02.23.2010,36.02.23,36.02,36,560.0,1038.0,239.0,0.0
30935,36.02.24.2001,36.02.24,36.02,36,1160.0,1799.0,571.0,2.0
30936,36.02.24.2003,36.02.24,36.02,36,1313.0,1765.0,696.0,15.0
30937,36.02.24.2004,36.02.24,36.02,36,1639.0,2017.0,1034.0,23.0
30938,36.02.24.2005,36.02.24,36.02,36,1583.0,2128.0,248.0,1.0
30939,36.02.25.2001,36.02.25,36.02,36,1257.0,2140.0,788.0,5.0
30940,36.02.25.2002,36.02.25,36.02,36,647.0,1281.0,503.0,5.0
30941,36.02.27.2004,36.02.27,36.02,36,446.0,1469.0,458.0,4.0
30942,36.02.25.2004,36.02.25,36.02,36,421.0,1063.0,197.0,0.0
30943,36.02.25.2005,36.02.25,36.02,36,613.0,1492.0,638.0,4.0
30944,36.02.25.2006,36.02.25,36.02,36,594.0,1452.0,110.0,1.0
30945,36.02.26.2001,36.02.26,36.02,36,682.0,1705.0,651.0,2.0
30946,36.02.26.2002,36.02.26,36.02,36,577.0,1387.0,656.0,0.0
30947,36.02.26.2003,36.02.26,36.02,36,943.0,2005.0,456.0,6.0
30948,36.02.26.2006,36.02.26,36.02,36,308.0,1000.0,396.0,0.0
30949,36.02.26.2007,36.02.26,36.02,36,602.0,1980.0,346.0,6.0
30950,36.02.26.2008,36.02.26,36.02,36,676.0,1653.0,465.0,3.0
30951,36.02.27.2005,36.02.27,36.02,36,646.0,1348.0,382.0,4.0
30952,36.02.27.2006,36.02.27,36.02,36,771.0,1884.0,167.0,4.0
30953,36.03.01.2011,36.03.01,36.03,36,2811.0,3386.0,2572.0,8.0
30954,36.02.27.2010,36.02.27,36.02,36,330.0,941.0,128.0,0.0
30955,36.02.28.2001,36.02.28,36.02,36,792.0,1758.0,295.0,0.0
30956,36.03.01.2003,36.03.01,36.03,36,3473.0,3522.0,4473.0,24.0
30957,36.02.28.2003,36.02.28,36.02,36,315.0,978.0,93.0,4.0
30958,36.02.28.2005,36.02.28,36.02,36,572.0,1631.0,203.0,2.0
30959,36.02.28.2006,36.02.28,36.02,36,332.0,1016.0,134.0,0.0
30960,36.02.28.2007,36.02.28,36.02,36,322.0,1400.0,134.0,0.0
30961,36.02.28.2008,36.02.28,36.02,36,384.0,1014.0,55.0,0.0
30962,36.03.01.2014,36.03.01,36.03,36,5900.0,5971.0,9466.0,39.0
30963,36.03.01.2016,36.03.01,36.03,36,1403.0,1500.0,2096.0,7.0
30964,36.03.02.2001,36.03.02,36.03,36,1197.0,2372.0,786.0,1.0
30965,36.03.02.2002,36.03.02,36.03,36,1281.0,2240.0,1342.0,5.0
30966,36.03.02.2005,36.03.02,36.03,36,1886.0,2453.0,1951.0,6.0
30967,36.03.02.2006,36.03.02,36.03,36,2203.0,2882.0,2302.0,9.0
30968,36.03.02.2007,36.03.02,36.03,36,1666.0,2604.0,1130.0,9.0
30969,36.03.02.2008,36.03.02,36.03,36,2824.0,2817.0,3310.0,17.0
30970,36.03.02.2009,36.03.02,36.03,36,905.0,1462.0,1381.0,7.0
30971,36.03.03.1007,36.03.03,36.03,36,1418.0,1627.0,2361.0,12.0
30972,36.03.03.2003,36.03.03,36.03,36,2032.0,2203.0,2906.0,12.0
30973,36.03.03.2004,36.03.03,36.03,36,4399.0,4454.0,7259.0,21.0
30974,36.03.03.2012,36.03.03,36.03,36,1776.0,2732.0,2042.0,15.0
30975,36.03.03.2013,36.03.03,36.03,36,1741.0,2399.0,1931.0,6.0
30976,36.03.04.2002,36.03.04,36.03,36,1537.0,1457.0,1462.0,10.0
30977,36.03.04.2007,36.03.04,36.03,36,843.0,1056.0,746.0,1.0
30978,36.03.04.2008,36.03.04,36.03,36,1019.0,1033.0,748.0,0.0
30979,36.03.04.2009,36.03.04,36.03,36,715.0,980.0,455.0,0.0
