,KODE_KEL_DESA,KODE_KECAMATAN,KODE_KAB_KOTA,KODE_PROVINSI,POPULASI,JUMLAH_KK
30979,36.03.04.2009,36.03.04,36.03,36,2659.0,913.0
30980,36.03.05.2001,36.03.05,36.03,36,8591.0,2913.0
30981,36.03.05.2004,36.03.05,36.03,36,9926.0,3144.0
30982,36.03.05.2006,36.03.05,36.03,36,6426.0,2217.0
30983,36.03.05.2007,36.03.05,36.03,36,7957.0,2651.0
30984,36.03.05.2009,36.03.05,36.03,36,6087.0,2117.0
30985,36.03.05.2014,36.03.05,36.03,36,5314.0,1772.0
30986,36.03.06.2003,36.03.06,36.03,36,6238.0,2385.0
30987,36.03.06.2007,36.03.06,36.03,36,8686.0,3224.0
30988,36.03.06.2011,36.03.06,36.03,36,6246.0,2128.0
30989,36.03.06.2013,36.03.06,36.03,36,4172.0,1517.0
30990,36.03.06.2014,36.03.06,36.03,36,5897.0,2146.0
30991,36.03.32.2005,36.03.32,36.03,36,4261.0,1530.0
30992,36.03.07.2001,36.03.07,36.03,36,6728.0,2646.0
30993,36.03.07.2002,36.03.07,36.03,36,5473.0,2225.0
30994,36.03.07.2006,36.03.07,36.03,36,3727.0,1588.0
30995,36.03.07.2007,36.03.07,36.03,36,4649.0,1913.0
30996,36.03.33.2003,36.03.33,36.03,36,4856.0,1818.0
30997,36.03.07.2008,36.03.07,36.03,36,5613.0,2331.0
30998,36.03.07.2009,36.03.07,36.03,36,4906.0,1992.0
30999,36.03.07.2010,36.03.07,36.03,36,5708.0,2359.0
31000,36.03.07.2013,36.03.07,36.03,36,6819.0,2876.0
31001,36.03.07.2017,36.03.07,36.03,36,3588.0,1576.0
31002,36.03.08.1002,36.03.08,36.03,36,5570.0,1838.0
31003,36.03.08.2001,36.03.08,36.03,36,5984.0,2061.0
31004,36.03.08.2003,36.03.08,36.03,36,8826.0,2825.0
31005,36.03.08.2008,36.03.08,36.03,36,7304.0,2465.0
31006,36.03.09.2003,36.03.09,36.03,36,5775.0,1972.0
31007,36.03.09.2007,36.03.09,36.03,36,4016.0,1412.0
31008,36.03.10.2001,36.03.10,36.03,36,5313.0,1832.0
31009,36.03.10.2008,36.03.10,36.03,36,8550.0,2952.0
31010,36.03.10.2003,36.03.10,36.03,36,5346.0,1974.0
31011,36.03.10.2004,36.03.10,36.03,36,10265.0,3595.0
31012,36.03.10.2005,36.03.10,36.03,36,6804.0,2263.0
31013,36.03.10.2006,36.03.10,36.03,36,8210.0,2907.0
31014,36.03.10.2007,36.03.10,36.03,36,5280.0,1853.0
31015,36.03.11.2003,36.03.11,36.03,36,9010.0,3105.0
31016,36.03.11.2006,36.03.11,36.03,36,7790.0,2572.0
31017,36.03.11.2008,36.03.11,36.03,36,6916.0,2321.0
31018,36.03.11.2011,36.03.11,36.03,36,8680.0,2982.0
31019,36.03.11.2012,36.03.11,36.03,36,5534.0,1861.0
31020,36.03.12.1005,36.03.12,36.03,36,29797.0,9546.0
31021,36.03.12.1010,36.03.12,36.03,36,39274.0,12328.0
31022,36.03.12.2001,36.03.12,36.03,36,20109.0,7007.0
31023,36.03.14.1001,36.03.14,36.03,36,4618.0,1559.0
31024,36.03.12.2008,36.03.12,36.03,36,27837.0,9024.0
31025,36.03.12.2011,36.03.12,36.03,36,12165.0,4105.0
31026,36.03.12.2013,36.03.12,36.03,36,34530.0,11039.0
31027,36.03.12.2015,36.03.12,36.03,36,13549.0,4759.0
31028,36.03.13.2001,36.03.13,36.03,36,12623.0,4350.0
31029,36.03.13.2002,36.03.13,36.03,36,12577.0,4263.0
