,KODE_KEL_DESA,KODE_KECAMATAN,KODE_KAB_KOTA,KODE_PROVINSI,Mayoritas,Minoritas,ISLAM,KRISTEN,KATOLIK,HINDU,BUDDHA,KONGHUCU,KEPERCAYAAN
30385,36.04.13.2007,36.04.13,36.04,36,5792.0,0.0,5792.0,0.0,0.0,0.0,0.0,0.0,0.0
30386,36.04.13.2009,36.04.13,36.04,36,1407.0,0.0,1407.0,0.0,0.0,0.0,0.0,0.0,0.0
30387,36.04.13.2010,36.04.13,36.04,36,2556.0,0.0,2556.0,0.0,0.0,0.0,0.0,0.0,0.0
30388,36.04.13.2013,36.04.13,36.04,36,2055.0,0.0,2055.0,0.0,0.0,0.0,0.0,0.0,0.0
30389,36.04.14.2001,36.04.14,36.04,36,2546.0,0.0,2546.0,0.0,0.0,0.0,0.0,0.0,0.0
30390,36.04.15.2013,36.04.15,36.04,36,15197.0,1635.0,15197.0,1191.0,405.0,6.0,33.0,0.0,0.0
30391,36.04.14.2007,36.04.14,36.04,36,4915.0,1.0,4915.0,1.0,0.0,0.0,0.0,0.0,0.0
30392,36.04.14.2008,36.04.14,36.04,36,5261.0,0.0,5261.0,0.0,0.0,0.0,0.0,0.0,0.0
30393,36.04.14.2009,36.04.14,36.04,36,3727.0,0.0,3727.0,0.0,0.0,0.0,0.0,0.0,0.0
30394,36.04.15.2001,36.04.15,36.04,36,16743.0,1033.0,16743.0,843.0,167.0,5.0,18.0,0.0,0.0
30395,36.04.15.2003,36.04.15,36.04,36,5478.0,0.0,5478.0,0.0,0.0,0.0,0.0,0.0,0.0
30396,36.04.15.2004,36.04.15,36.04,36,9081.0,35.0,9081.0,23.0,6.0,1.0,5.0,0.0,0.0
30397,36.04.15.2005,36.04.15,36.04,36,6380.0,0.0,6380.0,0.0,0.0,0.0,0.0,0.0,0.0
30398,36.04.15.2008,36.04.15,36.04,36,4656.0,2.0,4656.0,1.0,0.0,0.0,1.0,0.0,0.0
30399,36.04.15.2009,36.04.15,36.04,36,6759.0,431.0,6759.0,335.0,86.0,0.0,5.0,5.0,0.0
30400,36.04.15.2010,36.04.15,36.04,36,4408.0,1.0,4408.0,1.0,0.0,0.0,0.0,0.0,0.0
30401,36.04.15.2011,36.04.15,36.04,36,4698.0,0.0,4698.0,0.0,0.0,0.0,0.0,0.0,0.0
30402,36.04.16.2001,36.04.16,36.04,36,7510.0,52.0,7510.0,43.0,8.0,0.0,1.0,0.0,0.0
30403,36.04.16.2003,36.04.16,36.04,36,4808.0,22.0,4808.0,16.0,4.0,0.0,2.0,0.0,0.0
30404,36.04.17.2004,36.04.17,36.04,36,6179.0,0.0,6179.0,0.0,0.0,0.0,0.0,0.0,0.0
30405,36.04.16.2006,36.04.16,36.04,36,5047.0,5.0,5047.0,4.0,0.0,0.0,1.0,0.0,0.0
30406,36.04.16.2007,36.04.16,36.04,36,4783.0,15.0,4783.0,10.0,5.0,0.0,0.0,0.0,0.0
30407,36.04.16.2008,36.04.16,36.04,36,6062.0,91.0,6062.0,69.0,14.0,0.0,8.0,0.0,0.0
30408,36.04.17.2001,36.04.17,36.04,36,2727.0,0.0,2727.0,0.0,0.0,0.0,0.0,0.0,0.0
30409,36.04.17.2009,36.04.17,36.04,36,4409.0,0.0,4409.0,0.0,0.0,0.0,0.0,0.0,0.0
30410,36.04.17.2010,36.04.17,36.04,36,4268.0,0.0,4268.0,0.0,0.0,0.0,0.0,0.0,0.0
30411,36.04.18.2001,36.04.18,36.04,36,4410.0,1.0,4410.0,0.0,1.0,0.0,0.0,0.0,0.0
30412,36.04.18.2002,36.04.18,36.04,36,3655.0,0.0,3655.0,0.0,0.0,0.0,0.0,0.0,0.0
30413,36.04.18.2003,36.04.18,36.04,36,2088.0,0.0,2088.0,0.0,0.0,0.0,0.0,0.0,0.0
30414,36.04.18.2005,36.04.18,36.04,36,3672.0,0.0,3672.0,0.0,0.0,0.0,0.0,0.0,0.0
30415,36.04.18.2007,36.04.18,36.04,36,4551.0,0.0,4551.0,0.0,0.0,0.0,0.0,0.0,0.0
